"RegionName","City","State","Metro","CountyName","SizeRank","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,0.642166752104245,0.582022071260732,0.582022071260732,0.582822085889571,0.580189267924748,0.580699054747084,0.590900137876699,0.643249783515245,0.628286450431028,0.601322910402886,0.598669623059867,0.584424428514488,0.586026771139406,0.578584515041589,0.591482649842271,0.571259853976835,0.631796611956533,0.613777940637596,0.661797255422753,0.630549612828717,0.652529567720359,0.642948992713245,0.664583333333333,0.654829545454545,0.65625,0.644663787785318,0.639336225216662,0.637411915438821,0.64143681847338,0.64143681847338,0.664010624169987,0.621880199667221,0.637755102040816,0.637755102040816,0.627591543818988,0.631364562118126,0.651402217518245,0.657008086253369,0.682420044815645,0.671432251416795,0.619314365756965,0.644183402804092,0.644183402804092,0.632126921170055,0.64316953949061,0.650557620817844,0.632126921170055,0.635711438820247,0.623052959501558
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",2,0.667527993109388,0.650016916021352,0.647905306684126,0.645161290322581,0.653453208009808,0.645855758880517,0.654307524536532,0.648887547765377,0.628653120078237,0.621850741196185,0.614854894244958,0.635251230578037,0.620811648522142,0.640459363957597,0.65032996637231,0.620229599751784,0.608656447249775,0.618811881188119,0.61784498205216,0.620229599751784,0.620229599751784,0.620229599751784,0.655118809682434,0.647054155983172,0.60459492140266,0.616045845272206,0.620852065938771,0.631586546791675,0.619834710743802,0.633197918206867,0.634354315232124,0.635819715576797,0.630859480886176,0.636537495340432,0.633217657152095,0.682844052940556,0.657315731573157,0.623644251626898,0.644889103182257,0.657812298574845,0.624755954705193,0.648900516293505,0.690376569037657,0.714325684124944,0.673043314581869,0.677348512376039,0.669456066945607,0.653782516775439,0.665967116867734,0.672317321317673,0.676059513074842,0.667398191486334
"Enterprise","Las Vegas","NV","Las Vegas","Clark",3,,,,,,,,,,,0.632538982053545,0.64437984496124,0.632538982053545,0.632538982053545,0.649432505131353,0.643153402620443,0.65402223675605,0.634422541524399,0.631874653522043,0.632538982053545,0.606981330577924,0.604658583280153,0.613496932515337,0.620993866388089,0.635926337731812,0.602310231023102,0.610453675754697,0.604832464106345,0.604170523152301,0.605982465188241,0.606561896884477,0.62396006655574,0.63991698374265,0.616380231030282,0.62396006655574,0.63536622258714,0.608695652173913,0.622489959839357,0.608695652173913,0.636570131248374,0.617677363145474,0.636787631402908,0.63179233799895,0.620903833797387,0.613496932515337,0.662576687116564,0.647032574743418,0.649280388514321,0.625459657102322,0.638036809815951,0.647897983482799,0.663628476494335
"Jamaica Plain","Boston","MA","Boston","Suffolk",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.960466062696101,0.949913644214162,0.984952120383037,1.00129198966408,0.975845829360608,0.962484800121599,0.931693597943438,0.911010943718566,0.897485932993877,0.862589445438283,0.882153193950343,0.924563984030258,0.925032800742619
"Brighton","Boston","MA","Boston","Suffolk",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.4,1.35685210312076,1.50770239265814,1.4184350132626,1.29626801414537,1.40598290598291,1.36895649955351,1.20253164556962,1.22993267736924,1.30240899294207,1.09079242861726
"Corona Valley","Eastvale","CA","Riverside","Riverside",6,,,,,,,,,0.693606755126659,0.68985325673292,0.705313876496299,0.704445835942392,0.704445835942392,0.692562481180367,0.690944336748823,0.678794461037198,0.678661404221856,0.689958896065766,0.69550596147967,0.684731934731935,0.678794461037198,0.689472337002231,0.689655172413793,0.68823417961349,0.690743834301098,0.684729064039409,0.68584478021978,0.684729064039409,0.680257256156884,0.68452380952381,0.684729064039409,0.680847751205028,0.680070963926671,0.681690260850639,0.68240001398304,0.69424766222726,0.699158294868314,0.705946239478686,0.692412108329008,0.68342776203966,0.727590221187427,0.714820359281437,0.722811956768803,0.721875901198468,0.741179958493922,0.706179471104525,0.733098017920174,0.716159703317947,0.708685162846803,0.708254722668997,0.716631830397134,0.731632339379035
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,1.389715941096,1.42857142857143,1.42945984363895,1.48351648351648,1.40625,1.40625,1.47195443657553,1.5547263681592,1.61613230813869,1.52857142857143,1.52705526181136
