"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Roxbury","Boston","MA","Boston","Suffolk",25,,,,,,,,,,,,,,,1800,2100,2100,2100,2100,2100,2100,2100,2100,2050,2200,2200,2200,2200,2400,2200,2225,2200,2100,2100,2050,2050,2050,2200,2500,2600,2575,2625,2700,2500,2500,2300,2300,2600,2800,3100,3100,3100,3000,2750,2600,2600,2500,2400,2500,2500,2900
"Lone Mountain","Las Vegas","NV","Las Vegas","Clark",26,,,,,,,,,1472.5,1445,1395,1300,1300,1295,1325,1425,1325,1395,1350,1297.5,1295,1450,1437.5,1425,1440,1482.5,1425,1400,1349.5,1330,1395,1330,1349.5,1325,1400,1400,1395,1394.5,1350,1350,1395,1395,1395,1395,1395,1350,1350,1350,1400,1451,1451,1537.5,1495,1455,1465,1450,1495,1475,1485,1395,1324.5
"Summerlin North","Las Vegas","NV","Las Vegas","Clark",27,,,,,1672.5,1850,1900,1850,1700,1850,1700,1900,1750,1650,1750,1662.5,1650,1700,1695,1775,1650,1600,1695,1600,1600,1600,1700,1750,1795,1800,1795,1795,1700,1750,1753,1700,1750,1650,1695,1699,1800,1775,1775,1775,1795,1795,1795,1850,1850,1800,1800,1800,1795,1800,1850,1795,1795,1785,1750,1795,1795
"Hamilton Heights","New York","NY","New York","New York",28,,,,,,,2750,2850,2975,2850,2750,2725,2795,2800,2795,2795,2800,2900,2895,2800,2800,2785,2785,2800,2895,2925,2900,2972.5,2925,2800,2900,3000,3195,3200,3100,3250,3295,3200,3200,3200,3199,3595,3595,3595,3500,3397.5,3400,3300,3275,3197,3250,3300,3300,3347.5,3300,3347.5,3347.5,3300,3300,3300,3200
"Memorial","Houston","TX","Houston","Harris",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3650,3725,3250,3200,3000,3100,3000,3000,3500,3500,3775,3600,3600,3325,3500,3300,3500,3500,3350
"Salem","Virginia Beach","VA","Virginia Beach","Virginia Beach City",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1797,1772.5,1750,1750,1800,1777.5,1760,1725,1699.5,1700,1737.5,1850,1795,1800,1830,1795,1797.5,1780,1867.5,1795,1885,1847.5,1897.5,1850,1875,1895,1850,1795,1750,1775,1695,1785
"East Boston","Boston","MA","Boston","Suffolk",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2900,2950,2900,2850,2800,2700,2700,2600,2400,2400,2650,2800
"Jamaica Plain","Boston","MA","Boston","Suffolk",32,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3150,3000,3100,3200,3100,3200,3200,3000,3000,3200,3200,3200,3175,3175,3200,3200,3150,3000,3000,3000,3000,3200,3400,3400,3400,3400,3400,3300,3200,3200,3000,3000,3100,3225,3497.5
"Brighton","Boston","MA","Boston","Suffolk",33,2600,2600,2600,2600,2550,2500,2500,2500,2600,2600,2700,2700,2680,2650,2650,2750,2800,2750,2750,2695,2800,2900,2800,2800,2800,2900,2900,2900,3000,3000,3000,3000,3000,2950,2950,2950,2950,3000,3000,3100,3150,3100,3100,3100,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3100,3099,3200,3200,3200
"Corona Valley","Eastvale","CA","Riverside","Riverside",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299.5,2320,2300,2300,2300,2400,2450,2395,2400,2400,2395,2362.5,2400
