"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Brooklyn Heights","New York","NY","New York","New York",119,,,,,,,,,,,,,,,,,,,,,2916,2900,2850,3100,3000,2750,2800,2500,2500,2550,2500,2650,2876.5,2750,2850,2775,2800,2999,2900,2977,2800,2900,2995,2995,3300,3400,3525,3600,3575,3500,3450,3550,3643.5,3462.5,3412.5,3300,3350,3185,3200,3500,3400,3385,3400,3400,3700,3700,3475,3392.5,3600,3497.5,3600,3700
"Waikiki","Honolulu","HI","Urban Honolulu, HI","Honolulu",120,,,,,,,,,1600,1700,1600,1650,1600,1596,1596,1519.5,1459.5,1500,1596,1500,1500,1647,1695,1672.5,1697,1700,1800,1700,1800,1800,1775,1800,1797,1798.5,1900,2000,1975,1900,1850,1950,2000,1900,1900,1900,1900,1900,2200,2000,2100,2000,2000,2200,2100,2200,2000,2175,2200,2187.5,2200,2500,2404,2300,2200,2198,2200,2200,2100,2200,2200,2200,2200,2347
"Seminary Hill","Alexandria","VA","Washington","Alexandria City",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1700,1725,1649,1650,1650,1850,1850,1700,1700,1650,1650
"Back Bay","Boston","MA","Boston","Suffolk",122,,,,,,,,,,,,2950,2900,2870,2650,2650,2850,2900,3000,3200,3200,2900,2800,3200,2975,2800,2800,2800,2995,3000,3000,3200,3200,3220,3400,3200,3190,2900,3100,3100,3000,2933.5,2939,2800,3000,2975,2900,2950,2900,2800,2850,2800,2800,2899.5,2900,2992.5,2850,2900,2800,2899.5,2890,2900,2950,2900,2900,2900,2900,2900,2895,2850,2899.5,2950
"Near North","Chicago","IL","Chicago","Cook",123,,,,,,,,,,,,1600,1599,1602,1700,1666,1850,1900,1995,2000,2000,1997,1999,1870,1849,1876,2000,2035,2087,2049,2099,1950,2117.5,2134.5,1900,1995,2100,2100,2000,1858,1900,1969.5,1908,1918,1955,1998.5,2000,2000,1998.5,2000,2037,2144,2200,2240,2227.5,2300,2100,2350,2315.5,2350,2332.5,2300,2225,2000,2044,2000,2250,2100,2015,2000,2047,2275
"Columbus Circle","New York","NY","New York","New York",124,,,,,,,,,,,,,,2835,3090,2985,3157,3100,3289.5,3094,3100,3200,3176,3195,3116,3190,3100,3200,3230,3271,3290,3200,3300,3275.5,3250,3200,3200,3200,3290,3300,3320,3300,3329.5,3250,3439,3500,3500,3500,3557,3575,3500,3495,3500,3500,3500,3497.5,3495,3497.5,3492.5,3439,3500,3520.5,3557,3569.5,3590,3575,3595,3599,3590,3500,3500,3500
"Uptown","Chicago","IL","Chicago","Cook",125,,,,,,,,,,,,,,,,,1200,1297.5,1395,1395,1295,1302.5,1385,1400,1475,1450,1500,1425,1295,1297.5,1362.5,1395,1395,1372.5,1385,1295,1300,1300,1300,1295,1270,1249.5,1295,1400,1462.5,1450,1425,1475,1497.5,1545,1600,1550,1660,1695,1692.5,1587.5,1600,1600,1550,1550,1520,1500,1450,1450,1695,1812.5,1750,1650,1612.5,1570,1597.5,1600
"Sutton Place","New York","NY","New York","New York",125,,,,,,,,,,,,2600,2400,2800,2800,2895,3200,3500,3900,3900,3472.5,3097.5,2800,3050,2995,2900,2997.5,3200,3450,3500,3400,3449,3497.5,3497.5,3300,3200,3295,3295,3400,3500,3395,3250,3200,3400,3395,3500,3500,3500,3500,3500,3495,3272.5,3272.5,3500,3500,3500,3500,3500,3425,3397.5,3400,3350,3400,3500,3500,3500,3500,3500,3500,3400,3500,3500
"Greenway - Upper Kirby Area","Houston","TX","Houston","Harris",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1555,1569,1596,1465.5,1465.5,1484,1497,1552,1552,1573.5,1490.5,1484,1447,1500,1521,1552,1523,1523,1490.5,1490.5,1523,1500,1500,1500,1475,1447,1448.5,1490.5,1524.5,1597.5,1625
"Lower Peters Canyon","Irvine","CA","Los Angeles-Long Beach-Anaheim, CA","Orange",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2550,2600,2600,2600,2650,2585,2600,2650,2700,2600,2647.5,2750,2800,2825,2900,2700,2962.5,2700,2700,2700,2700,2875
"Greenbrier West","Chesapeake","VA","Virginia Beach","Chesapeake City",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1242.5,1250,1250,1250,1250,1250,1250,1200,1250,1260,1267.5,1237.5,1250,1250,1250,1255,1285,1300,1297.5,1250,1250,1250
"Bucktown","Chicago","IL","Chicago","Cook",130,,,,,,,,,,,,,,,,,,2300,2300,2200,2200,2250,2250,2400,2447.5,2300,2450,2400,2250,2400,2350,2400,2450,2400,2395,2300,2400,2225,2450,2100,2100,2100,2100,2050,2400,2300,2225,2250,2325,2350,2400,2450,2400,2450,2450,2400,2300,2200,2200,2300,2350,2400,2400,2350,2299.5,2472.5,2497.5,2400,2450,2500,2450,2400
"Gowanus","New York","NY","New York","Kings",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3100,3500,3000,3175,3000,3200,3200,3200,3200,3000,3100,3200,3330
"Streeterville","Chicago","IL","Chicago","Cook",132,,,,,,,,,,,,,1934,1920,1906,1865,1700,1757,1975,2095,2095,2000,2000,1950,2085,2100,2045,2200,2100,2085,2000,1950,2042.5,2124,1986.5,2099,2175.5,2025,2100,2123,2160,2097,2090,2049,2138,2176,2176,2200,2200,2200,2200,2200,2150,2297.5,2200,2200,2194,2200,2188,2200,2269,2200,2188,2176,2188,2188,2150,2150,2170,2116,2150,2170
"South of Market","San Francisco","CA","San Francisco","San Francisco",133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4450,3972.5,4100,4450,4450,4650,4695,4547.5,4350,4300,4200,4275
"Downtown","Stamford","CT","Stamford","Fairfield",134,,,,,,,,,,,,1825,1845,1822.5,1850,1812.5,1800,1800,1787.5,1712.5,1800,1800,1875,2000,2137.5,1887.5,1800,1800,1687.5,1700,1700,1675,1750,1795,1650,1750,1750,1800,1800,1900,1875,1872.5,1975,2150,2100,2000,1950,1850,1795,1750,1795,1850,1797.5,1850,1900,1885,1825,1825,1872.5,1772.5,1825,1850,1850,1974.5,1974.5,1900,1890,1800,1800,1850,1800,1800
"Turtle Bay","New York","NY","New York","New York",135,,,,,,,,,3200,3275,3000,3150,3000,2900,2900,3000,2995,3000,3090.5,3050,3200,3200,3125,3025,3000,3000,3100,3200,3200,3000,3097.5,3100,3200,3200,3062.5,3000,3000,3000,3095,3100,3050,3000,3200,3150,3300,3300,3275,3250,3300,3300,3362.5,3400,3400,3350,3387.5,3400,3400,3400,3400,3495,3400,3400,3350,3350,3387.5,3400,3450,3400,3350,3300,3262.5,3200
"Midtown","New York","NY","New York","New York",136,,,,,,,,,,,,,,3244.5,3300,3395,3800,3500,3695,3800,3695,3400,3500,3450,3595,3400,3400,3425,3469,3400,3395,3435,3500,3500,3450,3450,3400,3400,3475,3500,3500,3500,3450,3438.5,3700,4250,4000,4000,4000,4200,4300,4000,4200,3995,3947,4100,4200,4000,4000,4300,4250,4500,4000,4297.5,4400,4300,4200,4150,4250,4250,4400,4250
"Grays Ferry","Philadelphia","PA","Philadelphia","Philadelphia",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,837.5,825,900,850,950,950,950,950,1025,950,1022.5,925,950,950,900,900,900,950,937.5
"Charlestown","Boston","MA","Boston","Suffolk",138,,,,,,,,,,,,,,,,2512.5,2400,2527.5,2500,2650,2767.5,2900,2940,2940,2700,2750,2455,2500,2600,2500,2500,2567.5,2625,2800,2800,2900,2800,2795,2950,2900,2807.5,2925,2750,2800,2900,2699.5,2700,2987.5,2795,2730,2700,2650,2790,2700,2500,2540,2650,2595,2600,2500,2500,2550,2650,2745,2700,2550,2550,2625,2600,2550,2797.5,2850
"Beach Haven","Jacksonville","FL","Jacksonville","Duval",139,,,,,,,,,,,,,,,,,975,995,950,1000,962.5,960,925,925,950,995,950,975,982.5,995,1000,1000,1050,950,975,1095,1000,1095,1100,1100,1100,1000,995,1000,1050,1050,1042.5,1050,1050,1050,1050,1150,1195,1162.5,1100,1100,1025,1075,1095,1050,1050,1075,1100,1100,1097.5,1100,1150,1150,1112.5,1175,1100,1172.5
"Metro West","Orlando","FL","Orlando","Orange",140,,,,,,,,,,,,795,850,850,900,850,885,850,895,850,895,875,850,885,850,900,950,900,900,927.5,985,900,950,900,895,900,900,900,919,900,900,900,900,950,950,935,927.5,925,950,950,950,950,950,950,965,950,937.5,955,995,995,995,1012.5,1050,1050,1000,1000,1050,1100,1100,1112.5,1100,1100
"Adams Morgan","Washington","DC","Washington","District of Columbia",141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,2700,2700,2600,2287.5,2527.5,2425,2500,2625,2575,2550,2425,2425,2397.5,2625,2300,2245,2340,2400,2600,2400,2400,2400,2490,2450,2300,2400,2550,2600,2372.5,2350,2300,2250,2250,2275
"Midtown","Atlanta","GA","Atlanta","Fulton",142,,,,,,,,,,,,,,,,,,,,,,1797.5,1700,1650,1695,1650,1637.5,1625,1650,1650,1795,1600,1575,1795,1795,1800,1772.5,1825,1800,1799,1912.5,1900,1670,1922.5,1999,1797.5,1700,1600,1562.5,1650,1700,1750,1900,1750,1890,1772.5,1700,1795,1750,1965,2000,2000,1900,1990,2050,2195,1950,1950,1925,1980,1900,1850
"Seatack","Virginia Beach","VA","Virginia Beach","Virginia Beach City",143,,,,,,,,,,,,,,,,,,,1395,1297,1372.5,1447.5,1300,1325,1325,1285,1310,1250,1325,1422.5,1400,1300,1250,1267.5,1295,1250,1250,1250,1275,1237,1200,1200,1200,1295,1295,1295,1250,1300,1312.5,1295,1250,1200,1200,1250,1300,1250,1200,1200,1200,1250,1250,1250,1250,1275,1295,1250,1300,1325,1395,1362.5,1295,1299
"Tribeca","New York","NY","New York","New York",144,,,,,,,,,,,,,,,,,,,,,6450,5950,5500,5500,5795,4997.5,5172.5,4800,5400,5397,5300,5275,5097.5,4800,4995,5000,5000,5100,5200,5200,5400,5400,5137.5,5200,5495,6000,5965,5722.5,5600,5980,6000,6000,6000,6000,6000,6000,5995,5900,5995,6197.5,5822.5,6400,6265,6397.5,6300,6047.5,6000,5950,5800,5697.5,5695,5972.5
