"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,0.803535546113714,0.858973800078469,0.852181741562273,0.910583941605839,0.901653944020356,0.876174096063833,0.979947936902634,0.832684824902724,0.791520879876267,0.804582507160167,0.873893805309734,0.938478747203579,0.890151515151515,0.870302099334357,0.90297619047619,0.883748696558916,0.95,0.992424242424242,1.0375,0.911111111111111,0.973282105635047,0.920217803030303,0.93801652892562,1.00648227571116,1.02626262626263,1.02272727272727,0.990769230769231,0.967244701348748,0.958904109589041,0.988700564971751,0.985,0.933997509339975,1.08674778761062,1.13333333333333,1.15214431586113,1.29032258064516,1.09967497291441,1.13392688307595,1.14482312338223,1.16220735785953,1.11508659367805,1.13364075772115,1.03719008264463,1.02272727272727,1.13453815261044,1.18737151248164,1.3,1.16156282998944,0.998159860115656,1.04830184435448,1.03894950214741,1.18110236220472,1.2,1.20263157894737,1.17241379310345,1.29090909090909,1.26850036036942,1.16926554628168,1.11992945326279,1.1747311827957,1.15594601167315
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,0.933787393162393,0.863888888888889,0.860832137733142,1.01406926406926,0.988105194805195,0.917653180790428,0.921985815602837,0.934071202202006,0.934071202202006,0.911234687298517,0.934278350515464,0.921985815602837,0.879249706916764,0.863874345549738,0.875398089171975,0.873860182370821,0.892857142857143,0.921428571428571,0.921629423714316,0.904292582417582,0.921985815602837,0.908333333333333,0.921985815602837,0.924482338611449,0.880952380952381,0.873860182370821,0.846099213286713,0.920992907801419,0.947435897435897,0.967948717948718,1,1,1,1.00174520069808,0.985815602836879,1,0.996478873239437,0.980392156862745,0.980392156862745,0.980392156862745,0.950904203323558,0.954838709677419,0.935897435897436,0.965058236272879,0.960789987701657,0.966494845360825,0.936329588014981,0.974192474192474,0.961538461538462,0.998241500586166,0.967948717948718,1.01414864291773,1.06382978723404,1.09753521126761,1.26201923076923,1.14741035856574,1.10294117647059,1.09507042253521,1.07863849765258,1.05516431924883,1.07
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09213759213759,5.06715506715507,5.05993150684932,5.04750593824228,5,4.9682183736519,5,4.99324324324324,5.07662835249042,5.13321780067837,5.02743484224966,5.0545172662272,5.12263329381164,5.11369509043928,5.13698630136986,5.10166515828543,5.0734714416052,5.05714000443379,4.9975
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99375,2.21139430284858,2.13641025641026,2.10833333333333,2.24375,2.13709677419355,2.23076923076923,2.16833134565693,2.13333333333333,2.17142857142857,2.3216885007278,2.43918269230769
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37343434343434,1.23293203291679,1.18666666666667,1.03658536585366,1.09547123623011,1.11333333333333,1.12,1.11764705882353,1.11764705882353,1.11786687769278,1.09961190168176,1.13114754098361,1.14077669902913,1.10200628786197,1.16911764705882,1.17931034482759,1.17647058823529,1.17058823529412,1.16862745098039,1.16666666666667,1.18453865336658,1.15532734274711,1.2313769751693,1.18538445083679
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9830168436863,0.992592592592593,1.04327177688366,1.04506172839506,1.08518518518519,1.08518518518519,1.06290322580645,1.05360892257239,1.07587548638132,1.09516129032258,1.10096153846154,1.10194379973475,1.07903225806452,1.11163337250294,1.0609756097561,1.07572115384615
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",7,,,,,,,,,,,,,,,,,,,0.773014757554462,0.773014757554462,0.790513833992095,0.75,0.671768707482993,0.67324345197016,0.74020924044509,0.727142857142857,0.719254360180286,0.712857142857143,0.790988624313121,0.798518518518519,0.812859097127223,0.830882352941177,0.831516352824579,0.805882352941176,0.773333333333333,0.794281045751634,0.827900326797386,0.831666666666667,0.837966537966538,0.820526634007193,0.824159021406728,0.865,0.863177339901478,0.872689938398357,0.840978593272171,0.833333333333333,0.832196452933151,0.830882352941177,0.827520687173952,0.827142857142857,0.864285714285714,0.927070457354759,0.901525658807212,0.911858974358974,0.909500915750916,0.888658288671225,0.890119047619048,0.888571428571429,0.977777777777778,0.995039682539683,0.938117588932806,0.945945945945946,0.930367652895749,0.916448516579407,0.941722972972973,0.931914179763376,0.981481481481482,0.996141124586549,0.981481481481482,0.98644578313253,0.984370836417469,1.00818434831832
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,1.10491071428571,1.01157742402315,1.01451010439613,1.00732600732601,1.00991501416431,1,0.987403640316337,0.932654216185625,0.941003344481605,0.959016393442623,0.965034965034965,0.949769423558897,0.954782608695652,0.972173913043478,0.975773889636608,0.975,0.981927710843373,1.00833333333333,1.00833333333333,0.990208078335373,1.00811923583663,1.0067996789359,1.01866251944012,1.05142857142857,1.07909271148036,1.03390804597701,1.03298611111111,1.04124228004455,1.04740299023421,1.06666666666667,1.05666156202144,1.07007728894174,1.13207547169811,1.11974098622667,1.11619047619048,1.12164290450928,1.12323491655969,1.09070034443169,1.09150355871886,1.09203073349415,1.09807626245277,1.1178247734139,1.11834319526627,1.12223115630025,1.14990723562152,1.15748031496063,1.15903675970048,1.14971209213052,1.14583333333333,1.16923076923077,1.12529550827423,1.14206128133705,1.13934438082017,1.15876954586632,1.1875,1.17966436327739,1.1725309699594,1.1892247043364,1.19047619047619,1.22382611190689,1.21239267082622
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",9,,,,,,,,,,,,,,,,,,,,,,,2.28381358423993,2.33512176136995,2.30446927374302,2.32403906742281,2.15430520034101,2.23333333333333,2.32342007434944,2.17088235294118,2.32342007434944,2.25,2.46714285714286,2.52613240418118,2.43011153736857,2.33160621761658,2.47933884297521,2.48713550600343,2.37556561085973,2.45666666666667,2.40496819263943,2.49360613810742,2.45069264069264,2.37564102564103,2.42424242424242,2.27145061728395,2.53968253968254,2.49658935879945,2.48868778280543,2.47727272727273,2.45769230769231,2.45679577464789,2.44444444444444,2.61324041811847,2.60571428571429,2.60294772794773,2.62631578947368,2.54393939393939,2.7,2.56410256410256,2.63895358649789,2.63128668610301,2.39945101743313,2.43801652892562,2.55731922398589,2.39793115560239,2.45995423340961,2.54166666666667,2.58414464534075,2.60741758241758,2.52816901408451,2.63357142857143
"Harlem","New York","NY","New York","New York",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80854430379747,2.81896046462063,2.84113712374582,2.8155637254902,2.81929347826087,2.81896046462063,2.82141144501279,2.85326086956522,2.81929347826087,2.89672748293948,2.82580862533693,2.84479301423027,2.88140365334432,3.04019550627371,2.92307692307692,2.92307692307692,2.91666666666667,2.93220295040315,2.89915966386555
"Enterprise","Las Vegas","NV","Las Vegas","Clark",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13276492082826,1.14452693071154,1.14452693071154,1.09124087591241,1.10225794192558,1.08933454876937,1.11323155216285,1.11323155216285,1.10894941634241,1.14503816793893,1.1543134872418,1.16104868913858,1.13092703486509,1.14829396325459,1.12517580872011,1.16279069767442,1.14023591087811,1.12008325507477,1.09977324263039,1.11240010311936
"Corona","New York","NY","New York","Queens",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17391304347826,2.16272051996286,2.17857142857143,2.20897615708275,2.20897615708275,2.22841225626741,2.29805013927577,2.3109243697479,2.28142076502732,2.3229307350955,2.29651588971132,2.29166666666667,2.29452054794521,2.34687933425798
"North Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21944950441135,2.17391304347826,2.28851540616246,2.08553740813674,1.95430448021608,1.86225735208648,1.971875,2.28089887640449,2.11679536679537,2.16521739130435,2.27272727272727,2.493961352657,2.42718446601942,2.51435608949911,2.58176915534389,2.59695960464117,2.55156003342929,2.49813153961136,2.39825218476904,2.475106685633,2.44771453036759,2.524893314367,2.61771844660194,2.52849002849003,2.66564501258379,2.73536585365854,2.66034985422741,2.6668467298872
