"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,204950,204500,222000,219950,222900,225500,220000,219200,229000,219900,209500,199350,194800,198000,202450,209150,219000,218000,199900,195000,189900,197000,189900,189000,190000,199500,199500,194500,199900,205475,2e+05,188250,185000,189900,214900,205000,209900,220000,239000,245000,249000,249900,246500,249900,239900,239000,244000,251450,249750,250000,269250,275000,285000,279000,275000,279700,274900,279000,267500,265000,287000,299900,320000,320000,330000,335000,325000,319000,335000,339900,348000,339900,339945
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,152900,155000,154900,150000,155000,158000,159550,159900,165000,164900,169000,170000,174900,170000,175000,175000,179999,185000,185000,185000,189900,189999,190000,190000,194900,198000,197000,198000
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98000,99997,1e+05,106000,109894,109900,110000,115000,117350,114900,112000,113400,110000,105000,113700,115000,117900,120000,120000,125000,125000,129900,129900,129900,130000,134900,135000
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000,1033500,999500,1050000,992000,975000,1035000,999000,1025000,1095000,1077500,1095000,1085000,1097000,1095000,1147500,1100000,1125000,1097500,1129000,1195000,1195000,1295000,1275000,1200000,1265000,1275000,1295000,1395000,1250000,1299000,1350000,1400000,1450000,1399000,1455000,1467500,1500000,1552500,1595000,1675000,1740000,1750000,1699999,1765000,1827500,1805000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799000,830000,799000,787500,739000,741950,749000,774000,799000,799000,807450,769000,777000,799000,799000,799000,829000,899000,899000,850000,849450,829450,849000,899000,899000,979000,1049000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,284950,269000,275000,289900,299000,299000,299000,305000,310000,299900,299999,299900,284950,309900,315000,315000,325000,328000,325000,329000,325000,329000,329000,332999.5,335000,335000
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,1080000,1085000,1049000,1095000,1049000,996475,1082000,1095000,1175000,1200000,1195000,1150000,1169000,1195000,1175000,1195000,1180000,1200000,1247000,1299999,1395000,1395000,1450000,1395000,1399000,1395000,1350000,1350000,1449000,1350000,1450000,1570000,1600000,1649500,1650000,1650000,1695000,1695000,1675000,1602500,1595000,1595000,1699000,1750000,1750000,1780000,1787500
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107800,110000,108000,109800,114375,114000,114990,116200,118000,124900,125000,128750,119900,119900,124400,125000,126000,126500,132000,135000,135000,139000,139900,137950,137750,139900,138000
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358000,369000,399000,362500,369999,360000,332000,359499.5,365000,360000,362500,389000,419000,425000,425000,439000,399000,442000,399000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184600,182000,175000,174700,180000,180000,179900,189000,183000,199900,2e+05,204250,205000,205000,215000,224900,221960,230000,238000,233999,239900,235000,236990,240000,240000,245000,244994.5
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239777,240000,240000,239450,239950,249900,249450,249000,259800,260000,259900,256450,255900,249000,269000,273457,275000,269000,265000,270000,274950,283000,288950,290000,295000,299000,299000
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274900,275000,265359,265000,275000,280000,283000,287900,287500,287000,285000,287250,284900,288450,296250,299900,299999.5,3e+05,309900,309800,299999,319900,319900,314600,316500,309900,315000
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189500,188000,185000,189000,189250,194900,199900,199900,199900,195000,199900,209900,204999,199000,204949.5,210000,210000,215900,219950,219900,212000,220000,220000,222500,225000,219950,219900
"Washington Heights","New York","NY","New York","New York",14,342000,362000,347000,355000,362000,369000,372000,369000,369000,359500,389000,389500,399000,355000,349500,349000,360000,360000,360000,329000,345000,345000,340000,329000,325000,329000,329000,339995,342900,312500,325000,3e+05,315500,322000,349000,349000,349000,349000,349500,369000,359000,354500,365000,380000,369000,389000,370000,389000,416500,424900,439000,432000,435000,450000,485000,444000,495000,450000,479000,498500,495000,490000,499000,479000,499000,499000,499500,495000,472000,469000,485000,499000,515000
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429999,425000,419750,417000,399900,399450,424000,424689,429000,429700,427933.5,429250,425000,377000,399900,399900,416990,399825,469000,469450,472450,495000,495000,479000,463314,459000,450169.5
"Astoria","New York","NY","New York","Queens",16,,,,,,,,,,,,,,,,,334500,345580,349000,399500,415000,415250,425000,415000,423888,425250,425000,395000,395000,388000,379000,373500,390000,399000,457000,465000,449000,461000,449000,427000,427000,415000,449000,449000,450000,450000,450000,449500,449000,431500,475000,470000,479000,495000,512500,520000,520000,530000,525000,537000,539000,535000,550000,559000,599000,599000,648500,637500,678020,688000,680000,669000,655000
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,150000,152900,152500,154900,154900,154900,157995,156950,159000,159900,159450,150000,149000,157745,160000,164900,169900,171000,175000,175000,175000,175000,179850,175000,175000,179000
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",18,239450,244900,244700,249995,257500,257000,249950,249000,247500,244900,243250,233450,229000,225000,228500,239900,239900,240000,238250,237251,229000,229950,225000,219700,219700,229850,233000,244000,245000,245000,249416.5,245900,239900,244900,265000,249000,249000,259000,274440,279000,289000,299000,299000,299945,289900,299000,299900,299000,297000,3e+05,309950,319900,325000,325000,330000,344950,320000,324900,334950,334900,349450,349000,350000,350000,359000,369000,350000,342750,355000,359450,369000,372900,392900
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586500,586500,630000,599000,645000,649000,650000,699000,705910,680500,675000,699000,711990,719990,749000,737245,737245,725000,709000,708867,731995,729000,719000,794000,799999.5,849000,849000
"Bedford Stuyvesant","New York","NY","New York","Kings",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e+05,949000,949495,995000,949990,9e+05,950000,950000,950000,910000,905000,919500,924999.5,879000,899000,897000,950000,879000
"East Side","El Paso","TX","El Paso","El Paso",21,135000,134999.5,135000,135000,136770,138000,137500,139900,139950,140000,147900,145000,139900,139900,134950,134825,139835,145000,142000,141000,139900,139747,139100,139835,139500,137000,143000,144000,139950,139950,139900,139500,136000,136999,142050,142250,137790,139997.5,139900,143000,143950,139975,139975,143450,140800,139900,139000,139000,139950,140000,142000,145000,142000,143500,140000,139900,139500,135000,134844,135000,132999.5,135000,138000,139000,139992.5,139000,139000,139900,139725,139992.5,141000,138700,139700
"Camelback East","Phoenix","AZ","Phoenix","Maricopa",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,299000,296500,304200,324900,325000,322000,319000,318600,329000,329447.5,335000,329000,325000,339000,349900,349900,345000,365000,359900,339000,365000,375000,365000,375000,380000,399000
"Alhambra","Phoenix","AZ","Phoenix","Maricopa",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,125000,127500,129900,129900,135500,135000,139000,139999.5,144000,154500,149900,146900,144250,154000,159450,164900,175000,179000,173000,172500,169000,169900,173950,175000,174949.5,179950
"Flatbush","New York","NY","New York","Kings",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527000,499000,529000,499000,479500,449000,405000,450000,445000,445000,419000,459000,479000,469000,479000
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67500,68000,64950,59000,68000,75000,74950,71500,72500,74250,77600,75000,70918,75000,75542,76659,80000,86000,84000,88950,89900,91900,95000,98500,99900,100700,99999.5
"Jamaica","New York","NY","New York","Queens",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,339000,329000,339000,339000,339000,339000,339000,345000,349000,349900,345000,340000,355000,375000,389000,389000,380000,389000,397000,390000,389000,389000,399000,395000,399000,404500
"Harlem","New York","NY","New York","New York",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725000,720000,775000,810000,785000,720000,750000,789000,797000,830000,849000,837000,825000
"Roosevelt","Fresno","CA","Fresno","Fresno",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185990,174500,155000,155000,157450,160000,159900,155900,154750,164900,146000,149999,158500,183000,175964,170000,174950,2e+05,199999.5,190000,189950,189500,179450,184900,163900
"Williamsbridge","New York","NY","New York","Bronx",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343000,359000,399000,419000,399000,399000,349000,349000,350000,359000,360000,350000,330000,319000,339500,369000,389000,389000,389000,399000,395000,399000,389000,379000,379000,385000,385000
"East Harlem","New York","NY","New York","New York",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795000,785000,695000,781900,797900,800800,840000,775000,795000,787500,750000,699000,704500,698000,775000,809000,856500,875000,918000,893375,797294,797294,836170,821250,792000,789000,795000,799000
"Bushwick","New York","NY","New York","Kings",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877000,769000,849499.5,854500,855000,899000,859000,949000,949000,899000,899000,899000,899000,899000,899000
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606997.5,615000,625000,629945,625000,615250,599000,589000,589000,575000,569000,560000,579000,595000,595000,594947.5,593736.5,6e+05,599000,599000,605000,625000,599900,612497.5,625497.5,639000,639900,639000,619450
"East Flatbush","New York","NY","New York","Kings",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,409000,399000,399000,399000,422000,425000,430000,445000,439000,442500,439000,429000,439000,449000,465000,479000,475000,475000,470000,469000,459000,464500,469000,465000,481000,495000
"Enterprise","Las Vegas","NV","Las Vegas","Clark",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207490,210000,210875,210000,214495,220000,220000,223950,229900,229311.5,230000,231000,232990,229992.5,230990,231999.5,235000,239945,248000,255000,250000,253900,255000,254999,255000,259999.5,260000,260000
"East San Jose","San Jose","CA","San Jose","Santa Clara",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475000,479000,477000,489725,488000,480000,488000,489888,495000,498444,499000,489000,489000,484350,498888,519975,549000,549000,549000,549000,548000,549000,550000,550000,550000,549250,550000
"South Mountain","Phoenix","AZ","Phoenix","Maricopa",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154900,154300,149950,150000,154800,150000,159800,159900,165000,168250,169000,169999,164400,155000,164900,169900,174900,172000,175000,175900,180000,179900,180125,179999,179500,175000,182250
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,125900,119900,119800,124900,129950,129900,134400,134325,130000,135000,135000,120872,124700,123000,125000,129000,139000,133700,139000,134450,128900,118000,115000,118400,114500,114900
"Sunset Park","New York","NY","New York","Kings",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349000,349000,370000,389000,449000,410000,389000,389000,389000,389000,389000,389000,389000,4e+05,4e+05,419500,429000,450000,458000,495000,499000,499000,499000,488500,550000,580000,580000
"South Side","Corpus Christi","TX","Corpus Christi","Nueces",39,165000,162900,164700,163200,165000,165900,162000,162000,164900,162199.5,164415,160000,159900,164555,165000,164900,164900,164900,159900,159900,159900,159900,159000,159999,159900,158250,152800,159900,159900,159900,149999.5,149900,149900,148900,156900,159900,157800,159900,159900,164700,173500,179000,179000,179900,179900,182000,184000,189900,184975,189250,188000,209950,204000,213900,210500,212950,199980,196000,199900,204900,209900,211450,218900,199000,199900,199999,199700,2e+05,203500,2e+05,2e+05,203900,205499.5
"North Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439000,434499.5,439000,446215,443430,459950,465000,469444,469944,479450,470000,459000,469900,474999.5,459000,479000,462425,499000,510000,529000,499900,519990,518500,549950,525000,527000,549000
"Alief","Houston","TX","Houston","Harris",41,74900,75000,75000,80000,78750,79662.5,79000,79990,82600,82900,80000,79990,76900,75000,74200,75000,74999.5,72000,69900,67900,65000,65900,68150,69900,69000,67500,68000,65000,64900,64900,66000,73950,69850,67700,69900,69900,71000,73200,72250,74500,73657.5,77000,79500,82800,84325,84900,89900,88244,87000,89000,88000,85000,89000,99900,104950,110000,1e+05,107000,101000,99999.5,98500,99990,108000,105000,109550,108000,109500,109950,121000,125000,118000,126500,125000
"Elmhurst","New York","NY","New York","Queens",42,354000,349000,299000,299000,278000,265000,272000,297500,299000,299000,288000,288000,288700,279000,288700,269000,279999,295000,289400,289000,268500,255000,289000,311100,310550,308700,270000,269000,249999.5,279000,268000,285000,269000,260000,279000,269000,269000,269000,240000,245000,245000,245000,245000,275000,279000,278000,278000,281500,264000,268000,259000,259000,268000,268000,289000,268000,268000,290000,305000,317500,314000,299000,320000,299999.5,325000,345000,348000,375000,375000,398500,385000,377500,380000
"Bullard","Fresno","CA","Fresno","Fresno",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,268637.5,257000,279000,285000,284900,284600,285000,276050,273300,279000,279000,279412.5,279300,269250,277000,270000,265950,272000,270000,275000,279000,268900,259900,259000,259900,265000
"Mid City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669450,649000,650000,654450,679000,650000,677000,702450,695000,699450,683000,675000,649949.5,660000,715000,718950,715778,739000,749000,718000,722000,718000,744000,724000,724000,749000
"Bensonhurst","New York","NY","New York","Kings",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479000,532000,559000,529000,548000,565000,571500,596500,629000,599000,629000,634000,653500,650000,659000,640000,678000,697000,699000,735000,730000,714000,719000,748000,713500,718000,699000
"Central City","Corpus Christi","TX","Corpus Christi","Nueces",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74999,74500,69444,71825,70000,74900,75000,79900,79999.5,78750,79950,82700,79900,75000,74900,79900,79900,79900,79900,83200,84900,89000,84900,84500,89000,88700,87950,85000,89000
"Northeast","El Paso","TX","El Paso","El Paso",47,113000,114900,114950,114500,110000,110000,109000,109900,105000,103950,102950,102700,105000,106475,105000,105000,108950,107900,105950,107000,106950,105450,105000,103975,105000,105225,108000,107950,107625,108000,107950,105950,106000,104500,107225,108000,109700,109500,108850,109000,109500,110000,108000,109000,108000,107000,105000,101000,99900,99200,98625,97000,99900,1e+05,102000,99999,103000,99999,99900,99900,99975,99975,105000,106974.5,106975,108800,109770,109500,102990,104000,105000,105000,105000
"Southwest Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123950,129900,118000,118000,125000,129900,126900,133500,134900,139900,142950,133950,124500,129900,139000,142500,133250,139299.5,143000,149700,143000,148900,150000,151350,155000,149450,147700
"Koreatown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539000,499000,479000,499000,525000,499000,519000,492450,550000,534000,498500,499000,483250,449000,488000,499000,586500,589000,569450,540000,539000,559900,555000,549000,579000,595000,588999.5
"Westlake","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465000,479500,519000,520000,499999,495000,425500,435000,454500,442000,414000,429000,429000,434000,492000,499000,499000,490500,449950,481500,399000,444950,469000,450000,484000,484000,5e+05
"West San Jose","San Jose","CA","San Jose","Santa Clara",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798000,799000,789000,789000,772000,762000,769000,764475,777888,775000,849000,799000,843000,861400,877000,876500,890000,888000,849999,849999,939000,899450,990000,929000,943900,988500,998000,992000,999000,999000,1e+06,1048000,999950,991944
"White Haven-Coro Lake","Memphis","TN","Memphis","Shelby",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,44250,40000,40000,40000,40645,42500,45000,47500,40000,45000,45000,40000,42500,40750,42000,42000,41250,42375,39900,37500,44000,44000,42000,39900,39000,35000
"East","Arlington","TX","Dallas-Fort Worth","Tarrant",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,89900,93500,98587.5,99375,99825,99900,93950,104900,110000,106500,97500,85000,89900,95000,97000,99500,97050,103400,106560,115000,116450,118000,119900,115000,117900,119000
"North Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000,315000,310000,319000,324000,319000,320000,319900,325000,329900,323700,329950,324950,325000,325000,342500,340000,340000,342500,333500,336500,349900,350000,349900,350000,355000,360000
"Canarsie","New York","NY","New York","Kings",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,399000,399000,399000,399000,389000,395000,399000,399000,379000,379000,380000,379000,379000,379000,379000,379000,379000,379000,379000,379000,379000,375000,375000,369000,372000
"Northwest","El Paso","TX","El Paso","El Paso",56,225000,225000,225000,225000,229000,229304,229900,229304,229900,229894,229900,229000,225000,225000,228950,228750,225000,229900,229900,229800,225094,219950,220000,225047,229000,225000,234891.5,234894,239000,234850,234950,232499.5,234725,229000,231499.5,229900,230000,229900,235000,239900,235000,237750,235864,235000,235000,235000,233725,232450,229000,229975,231020,234950,230000,229900,229900,226328,228000,223850,224650,222950,219950,219800,220910,224900,227750,225000,223250,223250,224950,225000,226950,225000,224900
"Southeast","Arlington","TX","Dallas-Fort Worth","Tarrant",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144815,139900,139000,140000,136800,139000,139250,139950,142500,141500,139900,140000,140000,139000,129900,137900,139500,147900,150000,149900,154000,155900,165000,165000,162000,159900,160000,159000,163450
"Logan Square","Chicago","IL","Chicago","Cook",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289900,285900,3e+05,312400,315000,299000,297450,279900,272895,289000,289000,299900,324500,299999,324900,319000,3e+05,299900,325000,330000,329000,324900,327000,375000
"Preston Hollow","Dallas","TX","Dallas-Fort Worth","Dallas",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376500,375000,385000,382450,369000,374700,379000,364900,386950,374950,374950,371000,414750,425000,427000,450000,443990,450000,422450,381940,399375,425000,425000,445000,456400,450000,450000,432000,430000,484900,495000,472450,458400,449950
"South Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289000,289000,289900,284900,285000,284900,289000,285000,289000,284336.5,295000,292000,289450,289900,292000,290000,293990,294999,299900,299999.5,299000,319900,325000,329900,329500,327700,329000
"Sun Valley","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390500,387450,383500,399900,399000,407000,399000,409950,415000,425000,425000,420000,415000,420000,415000,412000,409900,425000,432000,425000,429000,429000,425000,425000,428000,425000,425750
"Canoga Park","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362000,372499.5,355000,349975,349475,314949.5,329475,350000,389500,357000,369000,364999,399000,339999,349000,367000,384999,385000,391572.5,347000,354950,370000,384950.5,391572.5,388500,370000,339000
"Downtown","San Jose","CA","San Jose","Santa Clara",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532450,529000,529000,497000,499000,559500,565000,569500,575000,583500,565000,545000,520000,519450,539888,574999,579900,589000,599000,629000,650000,659500,665000,660000,649969,659475,669000
"South Ozone Park","New York","NY","New York","Queens",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369900,380000,389450,399000,399000,399000,395000,399000,399000,399999,4e+05,422000,438500,439000,429495,425000,425000,429000,449000,449000,449000,439999,439999,444500,449000,459000,469450
"Ahwatukee Foothills","Phoenix","AZ","Phoenix","Maricopa",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319000,3e+05,3e+05,3e+05,306245,315000,317000,313000,309900,301990,304900,299000,293000,295000,293450,302990,310745,319990,329900,335000,326990,325000,323995,320000,320000,324450,324000
"North Valley","San Jose","CA","San Jose","Santa Clara",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589950,573995,549900,570000,599999,577990,575000,532500,519750,542500,547450,550000,593000,635000,648000,652500,599500,625000,599000,613450,648995,643995
"Evergreen","San Jose","CA","San Jose","Santa Clara",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799000,859000,785000,775000,823944,790000,829388,859000,859944,876944,848000,850000,829888,799000,759000,799000,849999.5,849975,949000,925000,879000,930000,899999,899997,899999,899999.5,937475
"Sylmar","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,369475,352500,349997.5,360000,375000,370000,367474.5,360000,369900,370000,375000,375000,364900,385000,386250,385000,385000,395000,397000,395000,394000,391500,399000,405000,410000,410000
"Willow Glen","San Jose","CA","San Jose","Santa Clara",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749000,749950,775000,775000,795000,830000,797000,845000,849925,798000,799475,849000,799450,799000,799950,836000,849000,775000,799000,849000,924999,898400,889000,896500,908500,899000,898000,899500,889000,884494,899950
"West","Arlington","TX","Dallas-Fort Worth","Tarrant",70,129900,136900,142500,145000,141000,139900,139000,139995,149450,139900,137900,129900,129900,130000,135000,135250,135000,134945,132950,129900,129900,131500,131000,129900,129750,130000,134950,129000,136499.5,138000,138000,134700,134900,142912.5,164999,165000,169000,169800,169400,164200,171995,165000,169900,176200,179900,175000,175000,185000,179900,173700,169921,179000,180000,179900,180000,176857.5,176207.5,175000,167500,170000,179700,185900,189950,2e+05,195000,185000,179900,180000,180000,185000,189900,185450,189900
"North Raleigh","Raleigh","NC","Raleigh","Wake",71,244900,244000,241750,239900,244500,239950,243749.5,249500,245000,239700,239900,239000,234900,219900,214900,214900,218450,219900,219754,214900,213600,214900,205000,199900,220000,219900,225000,217500,215000,215000,204950,2e+05,209900,209900,219900,219900,223000,227200,227400,229450,229900,233450,236900,244900,239900,241150,239900,241250,229900,239900,249900,255000,269900,274900,287550,279900,280000,280000,285000,280000,279900,278900,279900,299950,324950,319900,308500,325000,314900,314900,315000,320450,329430
"Northridge","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579000,579000,554925,589000,534990,575000,599000,593500,592495,598500,579000,566000,549950,539950,559500,577000,580000,615000,634900,604475,609975,639950,639000,647000,649925,639000,651250
"San Pedro","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000,432499.5,459500,455000,449000,442450,459000,459000,459000,464950,459000,469000,479900,450000,459000,459000,459000,459000,485000,498000,495000,495000,495000,499000,496500,499999,509950
"Southwest","Chula Vista","CA","San Diego","San Diego",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302499.5,310000,307000,329700,339000,331105,319000,330000,349900,355000,342000,339000,339000,330000,345000,345000,375000,386000,387450,370850,389950,389450,389900,399000,399000,389900,399000
"Forest Hills","New York","NY","New York","Queens",75,299000,295000,273331.5,269000,269000,260000,259000,259500,269444,279000,270000,269900,269949.5,259000,269000,264900,264900,259000,255000,254900,259000,255888,250000,250000,249950,250000,249000,255000,249000,249000,249000,249444,249000,250000,255000,251500,249000,249388.5,255000,255450,258888,258000,255900,258000,259000,253000,259000,253000,249000,259000,259000,268000,268000,269000,269000,275000,275000,269000,259000,265000,279888,295000,3e+05,299000,299000,309000,311500,325000,329499.5,329000,339000,325000,330000
"West Anaheim","Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA","Orange",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,414950,425000,426000,429900,432950,434950,450000,449500,450000,447000,450000,441499.5,416050,443500,449450,449450,472500,479900,479000,479000,477450,469444,479700,479500,475000,469000
