"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Sun City Summerlin","Las Vegas","NV","Las Vegas","Clark",660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219500,219950,228500,239200,248250,246150,240000,252500,249000,242800,235000,227500,219900,224950,229450,239900,238900,235000,244500,239500,251150,245000,239900,235000,232900,237450,239000,242250,240000,245000,239000,244103.5,249998.5,252500,255900,252500,255450
"Glenbrook","Stamford","CT","Stamford","Fairfield",661,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,299000,299000,319000,319000,312000,317000,314900,319500,322200,319000,329450,327000,339000,329900,317000,310000,299999.5,299999.5,299900,297000,299000,299000,275000,265000,274500,284950,289450,289000,294900,329000,319000,299900,299950,299950,299000,285000,325000,334450,334450,347000,345000,335000,304900,309900,325000
"Dobson Ranch","Mesa","AZ","Phoenix","Maricopa",662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,182000,189900,192200,209000,209900,212450,219000,199700,199850,185000,189950,179900,179500,191000,210000,210000,224900,227450,224000,219000,219900,219900,224000,215000,221950,215910
"Downtown","Hampton","VA","Virginia Beach","Hampton City",663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138000,132000,136500,139000,139000,149900,149900,154700,149450,145000,149450,152000,142000,147900,140000,149900,150000,145900,147500,149400,149000,149900,149900,144900,141000
"Wicker Park","Chicago","IL","Chicago","Cook",664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e+05,476950,510000,515000,512500,527500,539000,520000,539900,520000,517000,519900,530000,507500,539450,520000,519000,549000,554500,550000,532500,503450,559950,565000,559950,559900,549950
"Russian Jack Park","Anchorage","AK","Anchorage","Anchorage",665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,123450,124950,139900,133000,128500,130000,139900,128950,122875,139900,144000
"Windy Hill","Jacksonville","FL","Jacksonville","Duval",666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103950,109950,117000,120950,124825,130000,138000,129000,116500,122000,129900,124500,124875,117000,116000,117450,123870,124825,129900,129900,124900,128500,127250,124900,122950,124950,129450
"Grand Crossing","Chicago","IL","Chicago","Cook",667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39450,39450,45000,49900,52512.5,55250,55000,50900,55000,49410,49655,58000,54999.5
"Corona Hills","Corona","CA","Riverside","Riverside",668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385000,389900,389950,390000,389950,390000,392000,399450,399450,396333,409000,392499.5,395945,4e+05,408000,408781.5,405000,425000,424950,425000,419900,419700,419900
"North Hill","Spokane","WA","Spokane","Spokane",669,130000,132000,129900,134950,130000,125950,129900,129250,125000,127000,124900,124900,119000,111500,118700,110000,110000,112000,114000,116900,117500,119375,113500,114700,111750,112925,112700,110500,112900,118900,122950,117500,119900,120000,119900,118750,114900,110000,114900,124500,120000,124900,125500,129900,129900,129700,128000,126000,125000,125000,125000,125000,125450,129000,129250,120000,124900,127975,127925,125000,120500,124900,124500,124950,128250,129000,129900,127900,125000,125000,125000,129000,125000
"Ballston-Virginia Square","Arlington","VA","Washington","Arlington",670,399000,432000,425000,487000,449850,429000,449950,489000,445450,408500,430000,425000,375000,365000,424450,410000,412000,375000,411750,429000,429900,443000,435000,430000,424000,399000,404450,412000,415000,438950,444900,468500,489400,455450,488900,429945,449900,429990,434450,475000,425000,420000,429900,418000,426500,439900,429000,462250,419949.5,492000,499986,462450,449900,439900,429500,424250,424950,449990,476950,429000,432500,442300,467400,472000,449900,449000,375000,399000,399000,399450,399000,409900,405000
"Downtown","Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,327400,350000,324900,293500,310000,325000,353000,350000,350000,357500,370950
"Turn of River","Stamford","CT","Stamford","Fairfield",672,481500,565000,571500,575000,569000,554500,539000,537500,537500,543000,539000,529000,510000,499999,504950,509000,509450,5e+05,499499.5,5e+05,499000,499450,499000,495000,490500,488500,499000,485000,479000,479000,479000,493750,479000,469999,471499.5,465000,499450,499000,502500,522000,525000,517000,514000,507000,525000,557000,525000,525000,523000,525000,499000,499000,5e+05,519000,499000,489900,499000,475000,450000,479000,499000,539000,539000,542000,547000,572447.5,569450,539900,529000,519500,524000,519000,519000
"Southeast","Eugene","OR","Eugene","Lane",673,249900,271938,268938,275000,275000,259450,253300,249000,239000,239000,225000,232450,219250,224950,225000,215000,212000,217500,215000,224900,222450,229900,229900,227000,232000,229000,239000,241950,238750,238500,225000,244900,237000,243950,239900,259000,253700,250000,268000,259950,289000,284500,254500,256750,259000,275000,252475,256975,229900,250000,269500,266450,272000,284900,279950,269000,269450,266750,269900,267450,259900,264500,259450,254900,258950,254900,259900,269950,275000,277000,264744,262694,259900
"West Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639000,644500,699000,685000,742000,799000,825000,839000,834500,799000,779000,774000,789000,799000,834000,799000,775000,787000,829000,875000,884000,899000,889000,949000,809000,939500,979000,1099000,1062000
"Park West","Chicago","IL","Chicago","Cook",675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347000,362400,334000,330000,372000,420000,469900,475000,459950,399900,399000,346250,374500,359900,349900,399000,379900,344000,379900,380000
"East Central","Spokane","WA","Spokane","Spokane",676,119900,119925,119900,119900,119900,124900,124950,130000,135000,132475,129500,125000,122450,125000,130000,119900,120000,120000,117950,115000,117250,118500,118000,119000,112000,110000,110000,110000,109000,110000,108200,109000,110000,112950,110000,113950,110000,109900,109950,109900,104000,109900,110000,119000,115000,109900,109000,99900,1e+05,1e+05,99900,104000,105000,117500,123900,120000,120000,122450,110400,107950,112500,119900,120000,125000,130000,134900,130000,125000,121250,111780,110000,110000,120500
"Downtown","Houston","TX","Houston","Harris",677,215000,215000,215000,215250,216500,244900,246250,251572.5,257900,255000,246400,241900,250000,249990,235000,234900,239000,220000,220000,214900,220000,225000,242000,249900,249900,249900,249900,229900,239900,269500,269900,249800,249650,246500,248075,240750,250000,266200,274700,266850,259990,270000,259945,269950,290750,299900,299040,299040,325000,325000,330000,321250,304684.5,311250,317950,324997.5,320000,319950,324900,343055.5,334900,320950,329900,331450,330500,335000,329000,349900,349950,357000,371500,373000,354000
