GEO.id,GEO.display-label,TotalHH,AvgHHSize,NonFamilyHHSize,HHChildren18,TotalHHNonFamily,HHOwnerOcc,HHRentOcc,GEO.id2
1400000US11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",920,2.44,1.79,218,468,57.9,42.1,11001003302
1400000US11001003400,"Census Tract 34, District of Columbia, District of Columbia",1154,2.24,1.64,143,761,44.7,55.3,11001003400
1400000US11001003500,"Census Tract 35, District of Columbia, District of Columbia",1141,2.46,1.57,161,734,43.1,56.9,11001003500
1400000US11001003600,"Census Tract 36, District of Columbia, District of Columbia",1962,2.31,1.75,228,1282,32.9,67.1,11001003600
1400000US11001003700,"Census Tract 37, District of Columbia, District of Columbia",2400,2.1,1.52,361,1693,23.6,76.4,11001003700
1400000US11001003800,"Census Tract 38, District of Columbia, District of Columbia",2702,1.86,1.51,236,1925,28.7,71.3,11001003800
1400000US11001003900,"Census Tract 39, District of Columbia, District of Columbia",2646,1.66,1.41,163,2091,26.4,73.6,11001003900
1400000US11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",2223,1.76,1.45,145,1702,49.5,50.5,11001004001
1400000US11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",1779,1.58,1.33,78,1386,34.7,65.3,11001004002
1400000US11001004100,"Census Tract 41, District of Columbia, District of Columbia",1436,1.81,1.3,149,954,49.9,50.1,11001004100
1400000US11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",2112,1.72,1.51,93,1708,38.9,61.1,11001004201
1400000US11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",1712,1.55,1.34,79,1419,34.3,65.7,11001004202
1400000US11001004300,"Census Tract 43, District of Columbia, District of Columbia",1948,1.78,1.39,197,1402,29.4,70.6,11001004300
1400000US11001004400,"Census Tract 44, District of Columbia, District of Columbia",2648,2.08,1.77,250,1936,51.3,48.7,11001004400
1400000US11001004600,"Census Tract 46, District of Columbia, District of Columbia",1212,2.4,1.56,239,661,44.3,55.7,11001004600
1400000US11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",2218,1.79,1.07,361,1535,17.1,82.9,11001004701
1400000US11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",1216,1.63,1.3,78,978,31.5,68.5,11001004702
1400000US11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",958,2.18,1.53,89,668,42.3,57.7,11001004801
